xc yc zc col
13 12 4 18
14 12 4 20
15 12 4 20
16 12 4 20
17 12 4 18
13 12 4 20
12 13 4 20
13 13 4 21
14 13 4 21
15 13 4 20
16 13 4 21
18 12 4 20
18 13 4 20
12 13 4 18
13 14 4 22
15 13 4 21
15 14 4 20
16 14 4 21
18 13 4 21
19 13 4 18
18 14 4 22
12 14 4 20
13 14 4 21
13 15 4 21
14 15 4 20
15 15 4 20
16 15 4 20
18 14 4 21
17 15 4 21
19 14 4 20
12 15 4 20
13 15 4 20
14 15 4 20
14 16 4 20
15 16 4 20
17 15 4 20
16 16 4 20
18 15 4 20
17 16 4 21
19 15 4 20
20 15 5 22
12 16 4 20
13 16 4 21
14 16 4 21
13 17 4 22
15 16 4 20
14 17 4 21
16 16 4 20
15 17 4 20
18 16 4 21
19 16 4 20
12 17 4 18
12 18 4 20
13 18 4 21
14 18 4 21
16 17 4 21
15 18 4 20
16 18 4 21
17 18 4 21
19 17 4 18
18 18 4 20
13 18 4 20
13 19 4 18
14 19 4 20
15 19 4 20
16 19 4 20
18 18 4 20
17 19 4 18
17 19 4 22
13 10 5 14
13 9 6 11
15 9 5 21
14 10 5 14
14 8 6 19
16 9 5 21
15 10 5 14
15 8 6 20
16 10 5 14
16 8 6 19
17 10 5 14
17 9 6 11
12 10 5 17
11 11 5 17
11 10 6 8
19 10 5 17
19 11 5 17
19 10 6 8
11 11 5 17
10 12 5 17
10 11 6 8
12 11 5 18
11 12 5 18
19 11 5 18
20 11 5 17
20 12 5 17
20 11 6 8
20 12 5 18
10 13 5 14
9 13 6 11
21 13 5 14
21 13 6 11
10 14 5 14
8 14 6 19
21 14 5 14
22 14 6 19
10 15 5 14
9 16 5 21
8 15 6 20
21 15 5 14
21 16 5 21
22 15 6 20
10 16 5 14
8 16 6 19
21 16 5 14
22 16 6 19
10 17 5 14
9 17 6 11
21 17 5 14
21 17 6 11
10 19 5 17
11 19 5 18
19 19 5 18
20 19 5 17
11 19 5 17
10 19 6 8
11 20 5 17
12 20 5 18
19 19 5 18
20 19 5 17
19 20 5 17
20 19 6 8
12 20 5 17
11 20 6 8
13 21 5 14
14 21 5 14
15 21 5 14
16 21 5 14
17 21 5 14
19 20 5 17
19 20 6 8
13 21 6 11
15 21 5 21
14 22 6 19
16 21 5 21
15 22 6 20
16 22 6 19
17 21 6 11
12 9 6 10
12 8 7 10
13 9 6 10
13 7 7 19
14 7 7 19
15 7 7 18
17 8 6 22
16 7 7 19
17 9 6 10
17 7 7 19
18 9 6 10
18 8 7 10
10 10 6 15
10 9 7 9
12 9 6 19
11 10 6 17
19 9 6 19
19 10 6 17
20 10 6 15
20 9 7 9
10 10 6 15
9 10 7 9
10 11 6 19
21 10 6 15
21 11 6 19
21 10 7 9
10 11 6 17
9 12 6 19
21 11 6 17
21 12 6 19
9 12 6 10
8 12 7 10
22 12 6 10
22 12 7 10
9 13 6 10
8 14 6 22
7 13 7 19
22 13 6 10
23 13 7 19
7 14 7 19
23 14 7 19
7 15 7 18
23 15 7 18
7 16 7 19
23 16 7 19
9 17 6 10
7 17 7 19
22 17 6 10
23 17 7 19
9 18 6 10
8 18 7 10
22 18 6 10
22 18 7 10
10 19 6 17
21 19 6 17
9 20 7 9
10 21 6 15
11 21 6 17
19 21 6 17
21 20 6 15
21 20 7 9
10 21 7 9
12 21 6 19
12 22 6 10
13 22 6 10
17 22 6 10
18 22 6 10
20 21 6 19
20 21 7 9
12 22 7 10
13 23 7 19
14 23 7 19
15 23 7 18
16 23 7 19
17 23 7 19
18 22 7 10
13 7 7 20
12 8 7 10
12 7 8 10
13 6 8 19
14 6 8 19
15 6 8 18
16 6 8 19
18 7 7 20
17 6 8 19
18 8 7 10
18 7 8 10
10 9 7 13
10 8 8 12
12 8 7 19
20 8 7 19
20 9 7 13
20 8 8 12
10 9 7 17
9 9 8 11
21 10 7 17
21 9 8 11
9 10 7 13
8 10 8 12
22 10 7 13
22 10 8 12
8 12 7 19
22 12 7 19
8 12 7 10
7 13 7 20
7 12 8 10
23 12 7 10
23 13 7 20
23 12 8 10
6 13 8 19
24 13 8 19
6 14 8 19
24 14 8 19
6 15 8 18
24 15 8 18
6 16 8 19
24 16 8 19
7 18 7 20
6 17 8 19
23 18 7 20
24 17 8 19
8 18 7 10
7 18 8 10
23 18 7 10
23 18 8 10
8 20 7 19
22 20 7 19
9 20 7 13
8 20 8 12
22 20 7 13
22 20 8 12
10 21 7 17
9 21 8 11
10 22 7 13
21 21 7 17
20 22 7 13
21 21 8 11
11 22 7 19
10 22 8 12
12 22 7 19
12 23 7 10
19 22 7 19
18 23 7 10
20 22 7 19
20 22 8 12
13 23 7 20
12 23 8 10
13 24 8 19
14 24 8 19
15 24 8 18
17 23 7 22
16 24 8 19
18 23 7 20
17 24 8 19
18 23 8 10
12 7 8 10
12 6 9 10
13 6 9 10
14 5 9 19
15 5 9 20
16 5 9 19
17 6 9 10
18 7 8 10
18 6 9 10
10 8 8 12
10 7 9 13
12 7 8 19
20 7 8 19
20 8 8 12
20 7 9 13
9 9 8 15
9 8 9 15
21 9 8 15
21 8 9 15
9 9 8 15
8 9 9 15
22 9 8 15
22 9 9 15
8 10 8 12
7 10 9 13
23 10 8 12
23 10 9 13
7 12 8 19
23 12 8 19
7 12 8 10
6 12 9 10
24 12 8 10
24 12 9 10
6 13 9 10
24 14 8 22
24 13 9 10
5 14 9 19
25 14 9 19
5 15 9 20
25 15 9 20
6 17 8 22
5 16 9 19
24 17 8 22
25 16 9 19
6 17 9 10
24 17 9 10
7 18 8 10
6 18 9 10
7 19 8 19
24 18 8 10
23 19 8 19
24 18 9 10
7 20 8 19
23 20 8 19
8 20 8 12
7 20 9 13
23 20 8 12
23 20 9 13
9 21 8 15
8 21 9 15
9 22 8 15
22 21 8 15
21 22 8 15
22 21 9 15
9 22 9 15
10 23 8 12
20 23 8 12
10 23 9 13
12 23 8 19
12 24 8 10
18 24 8 10
20 23 8 19
20 23 9 13
12 24 9 10
13 24 9 10
14 25 9 19
15 25 9 20
16 25 9 19
17 24 9 10
18 24 9 10
13 6 9 11
13 5 10 14
14 5 10 14
15 5 10 14
16 5 10 14
17 6 9 11
17 5 10 14
10 7 9 9
11 6 10 17
19 6 10 17
20 7 9 9
9 8 9 11
21 8 9 11
9 8 9 15
22 8 9 15
8 9 9 11
23 9 9 11
7 10 9 9
6 10 10 15
24 10 9 9
24 10 10 15
6 11 10 17
24 11 10 17
6 13 9 11
5 13 10 14
25 13 9 11
25 13 10 14
5 15 9 21
5 14 10 14
25 15 9 21
25 14 10 14
5 15 10 14
25 15 10 14
5 16 10 14
25 16 10 14
6 17 9 11
5 17 10 14
25 17 9 11
25 17 10 14
6 19 10 17
24 19 10 17
7 20 9 9
6 20 10 15
24 20 9 9
24 20 10 15
8 21 9 11
23 21 9 11
22 22 9 15
9 22 9 15
9 23 9 11
22 22 9 15
21 23 9 11
10 24 9 9
20 24 9 9
10 24 10 15
11 24 10 17
13 25 9 11
17 25 9 11
19 24 10 17
20 24 10 15
13 25 10 14
14 25 10 14
15 25 10 14
16 25 10 14
17 25 10 14
12 5 10 17
11 6 10 8
11 5 11 17
19 5 10 17
19 6 10 8
19 5 11 17
10 6 10 15
9 7 10 9
21 6 10 15
21 7 10 9
9 7 10 13
8 8 10 12
22 7 10 13
22 8 10 12
8 8 10 12
7 9 10 13
23 8 10 12
23 9 10 13
7 9 10 9
6 10 10 15
24 9 10 9
24 10 10 15
6 10 11 19
24 11 10 19
6 11 10 8
5 12 10 17
5 11 11 17
25 11 10 8
25 12 10 17
25 11 11 17
5 19 10 17
25 19 10 17
6 19 10 8
5 19 11 17
25 19 10 8
25 19 11 17
6 21 10 15
24 21 10 15
7 21 10 9
7 22 10 13
24 21 10 9
23 22 10 13
8 22 10 12
8 23 10 12
23 22 10 12
22 23 10 12
9 23 10 13
9 24 10 9
22 23 10 13
21 24 10 9
10 24 10 15
10 24 11 19
11 25 10 8
19 25 10 8
21 24 10 15
21 24 11 19
12 25 10 17
11 25 11 17
19 25 10 17
19 25 11 17
13 4 12 18
14 4 12 20
15 4 12 20
16 4 12 20
17 4 12 18
11 5 11 17
